Date,Valore,Description,Categoria,Tag,Fissa?,Commenti,M
7 mag 2023,"€ 2,70",Limette unghie,CuraPersonale,Oggetti per la cura del corpo,FALSE,,"5,00"
8 mag 2023,"€ 8,00",Tabacco e Filtri,Fumo,Sigarette,FALSE,,"5,00"
8 mag 2023,"€ 12,80",Poke,IntrattenimentoEVacanze,Ristoranti e Delivery,FALSE,,"5,00"
8 mag 2023,"€ 3,99",Noleggio Star Wars,IntrattenimentoEVacanze,Cinema&Cultura&Eventi,FALSE,,"5,00"
9 mag 2023,"€ 9,99",Cerotti per Mamma,Altro,Regali&SpeseAltrui,FALSE,,"5,00"
9 mag 2023,"€ 10,99",Custodia Cuffiette,Shopping,Oggettistica,FALSE,,"5,00"
9 mag 2023,"€ 10,00",Carnet Bus,Trasporti,Mobilità&Micromobilità,FALSE,,"5,00"
9 mag 2023,"€ 6,80",Pizza,IntrattenimentoEVacanze,Ristoranti e Delivery,FALSE,,"5,00"
9 mag 2023,"€ 14,65",Prenotazione BnB - Le Cave,IntrattenimentoEVacanze,Viaggi,FALSE,,"5,00"
9 mag 2023,"€ 83,45",Traghetto Piombino-Isola D'Elba,IntrattenimentoEVacanze,Viaggi,FALSE,,"5,00"
10 mag 2023,"€ 55,68",Prenotazione BnB - Rio nell'Elba,IntrattenimentoEVacanze,Viaggi,FALSE,,"5,00"
11 mag 2023,"€ 45,00",Appuntamento Unobravo,CuraPersonale,Psicologo,FALSE,,"5,00"
11 mag 2023,"€ 2,80",Birrette da passeggio,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"5,00"
11 mag 2023,"€ 8,00",Spritz B Evolution,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"5,00"
11 mag 2023,"€ 24,50",Cena Sonamu,IntrattenimentoEVacanze,Ristoranti e Delivery,FALSE,,"5,00"
12 mag 2023,"€ 27,10",Base sigaretta elettronica,Fumo,E-Cig,FALSE,,"5,00"
12 mag 2023,"€ 9,65",Resistenze sigaretta elettronica,Fumo,E-Cig,FALSE,,"5,00"
12 mag 2023,"€ 32,45",Spesa,GestioneCasa,Cibo&ProdottiCasa,TRUE,,"5,00"
12 mag 2023,"€ 3,50",Cartine e filtri,Fumo,Sigarette,FALSE,,"5,00"
12 mag 2023,"€ 14,00",Drink Affini,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"5,00"
12 mag 2023,"€ 8,50",Drink Flora,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"5,00"
12 mag 2023,"€ 33,00",Cena Cocos,IntrattenimentoEVacanze,Ristoranti e Delivery,FALSE,,"5,00"
12 mag 2023,"€ 10,00",Wawa,Fumo,Sigarette,FALSE,,"5,00"
12 mag 2023,"€ 8,00",Drink Gorilla,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"5,00"
12 mag 2023,"€ 20,00",Taxi,Trasporti,Mobilità&Micromobilità,FALSE,,"5,00"
13 mag 2023,"€ 26,13",Cena Prosciutteria,IntrattenimentoEVacanze,Ristoranti e Delivery,FALSE,,"5,00"
13 mag 2023,"€ 18,00",Drink Flora,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"5,00"
13 mag 2023,"€ 4,94",Cooltra,Trasporti,Mobilità&Micromobilità,FALSE,,"5,00"
14 mag 2023,"€ 3,50",Dott,Trasporti,Mobilità&Micromobilità,FALSE,,"5,00"
14 mag 2023,"€ 1,20",Caffe,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"5,00"
14 mag 2023,"€ 3,00",Gelato,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"5,00"
14 mag 2023,"€ 5,00",Spritz Valentino,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"5,00"
