,Type,Date,Amount,Description,Labels
0,expense,2025-01-01,-1.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
1,expense,2025-01-01,-0.5,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
2,expense,2025-01-01,-0.01,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
3,expense,2025-01-01,-13.99,Amazon,['AcquistiOnline']
4,expense,2025-02-01,-0.01,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
5,expense,2025-02-01,-1.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
6,expense,2025-01-01,-70.0,Rifugio Cascina Miera,['Pub&Locali&Eventi']
7,expense,2025-02-01,-0.19,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
8,expense,2025-02-01,-1.81,Pam Panorama,['SpesaCasa']
9,expense,2025-01-01,-7.5,Tabaccheria,['Fumo']
10,expense,2025-02-01,-18.0,Lavasecco Delfino Bia.,['Generic']
11,expense,2025-04-01,-25.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
12,expense,2025-04-01,-0.01,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
13,expense,2025-04-01,-0.1,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
14,expense,2025-04-01,-2.99,Amazon,['AcquistiOnline']
15,expense,2025-04-01,-36.9,Ayo,['Generic']
16,expense,2025-05-01,-0.1,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
17,expense,2025-06-01,-0.47,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
18,expense,2025-05-01,-2.9,Mercato Centrale,['Ristoranti&Delivery']
19,expense,2025-02-01,-209.99,Amazon,['AcquistiOnline']
20,expense,2025-07-01,-0.01,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
21,expense,2025-06-01,-16.53,Pam Panorama,['SpesaCasa']
22,expense,2025-07-01,-2.99,Amazon,['AcquistiOnline']
23,expense,2025-08-01,-0.01,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
24,expense,2025-09-01,-0.69,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
25,expense,2025-08-01,-2.99,Amazon,['AcquistiOnline']
26,expense,2025-09-01,-9.31,Amazon,['AcquistiOnline']
27,expense,2025-10-01,-0.98,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
28,expense,2025-11-01,-25.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
29,expense,2025-10-01,-8.02,Pam Panorama,['SpesaCasa']
30,expense,2025-11-01,-0.11,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
31,expense,2025-11-01,-1.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
32,expense,2025-12-01,-1.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
33,expense,2025-12-01,-1.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
34,expense,2025-12-01,-1.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
35,expense,2025-11-01,-25.0,Oratorio,['Generic']
36,expense,2025-12-01,-25.0,Sita Vinc,['Generic']
37,expense,2025-11-01,-15.89,Pam Panorama,['SpesaCasa']
38,expense,2025-12-01,-14.0,Feed Srls,['Generic']
39,expense,2025-12-01,-14.0,Feed Srls,['Generic']
40,expense,2025-01-13,-0.01,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
41,expense,2025-01-13,-2.99,Amazon,['AcquistiOnline']
42,expense,2025-01-17,-0.2,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
43,expense,2025-01-17,-0.28,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
44,expense,2025-01-17,-0.12,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
45,expense,2025-01-18,-25.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
46,expense,2025-01-17,-9.72,Pam Panorama,['SpesaCasa']
47,expense,2025-01-17,-11.8,Tabaccheria,['Fumo']
48,expense,2025-01-18,-0.07,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
49,expense,2025-01-18,-1.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
50,expense,2025-01-19,-0.66,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
51,expense,2025-01-17,-18.88,Amazon,['AcquistiOnline']
52,expense,2025-01-19,-4.34,Cooltra,['Movimento']
53,expense,2025-01-19,-0.01,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
54,expense,2025-01-18,-60.0,The 1870 Huntsman Pub,['Pub&Locali&Eventi']
55,expense,2025-01-19,-0.38,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
56,expense,2025-01-19,-0.1,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
57,expense,2025-01-19,-0.24,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
58,expense,2025-01-19,-2.99,Amazon,['AcquistiOnline']
59,expense,2025-01-18,-13.93,ALDI,['SpesaCasa']
60,expense,2025-01-19,-26.62,Donbury House,['Ristoranti&Delivery']
61,expense,2025-01-19,-29.9,La Rinascente,['Shopping']
62,expense,2025-01-19,-7.76,Pam Panorama,['SpesaCasa']
63,expense,2025-01-24,-1.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
64,expense,2025-01-25,-25.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
65,expense,2025-01-25,-0.01,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
66,expense,2025-01-25,-0.01,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
67,income,2025-01-25,1000.0,Payment from PALLOMO MATTEO,"['Ricevuti', 'Giroconto']"
68,expense,2025-01-24,-18.0,Carrefour,['SpesaCasa']
69,expense,2025-01-25,-0.24,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
70,expense,2025-01-25,-5.99,Amazon,['AcquistiOnline']
71,expense,2025-01-25,-0.99,Amazon,['AcquistiOnline']
72,expense,2025-01-26,-0.25,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
73,expense,2025-01-26,-0.01,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
74,expense,2025-01-26,-1.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
75,expense,2025-01-26,-1.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
76,expense,2025-01-26,-24.0,Il Mulo,['Pub&Locali&Eventi']
77,expense,2025-01-26,-9.99,La Casa de las Carcasas,['Generic']
78,expense,2025-01-26,-4.75,Pam Panorama,['SpesaCasa']
79,expense,2025-01-25,-45.76,Pam Panorama,['SpesaCasa']
80,expense,2025-01-26,-20.0,Intimissimi,['Shopping']
81,expense,2025-01-28,-1.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
82,expense,2025-01-28,-15.0,Angelo Parrucchiere,['CuraPersonale']
83,expense,2025-01-02,-25.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
84,expense,2025-01-02,-0.8,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
85,expense,2025-01-02,-0.04,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
86,expense,2025-01-02,-0.01,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
87,expense,2025-01-02,-0.5,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
88,expense,2025-01-02,-16.2,Amazon,['AcquistiOnline']
89,expense,2025-01-02,-32.5,El Centenario,['Ristoranti&Delivery']
90,expense,2025-01-02,-12.99,Amazon,['AcquistiOnline']
91,expense,2025-02-02,-0.05,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
92,expense,2025-01-02,-5.96,ALDI,['SpesaCasa']
93,expense,2025-02-02,-48.95,Pam Panorama,['SpesaCasa']
94,expense,2025-03-02,-0.6,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
95,expense,2025-03-02,-40.4,Rockburger,['Ristoranti&Delivery']
96,income,2025-04-02,15.0,Transfer from NOEMI BIANCO,['Ricevuti']
97,expense,2025-04-02,-0.64,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
98,expense,2025-04-02,-6.36,Ok Market Millesimo,['SpesaCasa']
99,expense,2025-05-02,-0.11,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
100,expense,2025-05-02,-0.5,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
101,expense,2025-05-02,-5.89,Onestmarket,['Pub&Locali&Eventi']
102,expense,2025-06-02,-1.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
103,expense,2025-05-02,-1.5,Legou Mercatone,['Generic']
104,expense,2025-06-02,-0.6,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
105,expense,2025-06-02,-59.4,Sushi Time,['Ristoranti&Delivery']
106,expense,2025-06-02,-13.0,Farmacia San Nazaro,['CuraPersonale']
107,expense,2025-07-02,-1.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
108,expense,2025-08-02,-25.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
109,expense,2025-08-02,-1.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
110,expense,2025-07-02,-25.0,Pantarei Ristorante,['Ristoranti&Delivery']
111,expense,2025-08-02,-0.71,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
112,expense,2025-08-02,-21.0,Pasticceria Pastorino,['Pub&Locali&Eventi']
113,expense,2025-09-02,-0.33,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
114,expense,2025-10-02,-0.01,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
115,expense,2025-10-02,-0.3,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
116,expense,2025-09-02,-31.67,Pam Panorama,['SpesaCasa']
117,expense,2025-08-02,-45.0,Eni,['Movimento']
118,expense,2025-10-02,-11.99,Amazon,['AcquistiOnline']
119,expense,2025-10-02,-7.7,Tabaccheria di Martorana Barbara,['Fumo']
120,expense,2025-12-02,-0.75,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
121,expense,2025-12-02,-0.03,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
122,expense,2025-12-02,-0.39,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
123,expense,2025-12-02,-0.01,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
124,expense,2025-12-02,-0.5,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
125,income,2025-12-02,1500.0,Payment from PALLOMO MATTEO,"['Ricevuti', 'Giroconto']"
126,expense,2025-12-02,-38.97,Amazon,['AcquistiOnline']
127,expense,2025-12-02,-282.61,EasyJet,['Viaggi']
128,expense,2025-12-02,-69.99,Milan Airports Shop,['Viaggi']
129,expense,2025-12-02,-3.5,Tabaccheria,['Fumo']
130,expense,2025-12-02,-17.25,Www.softsolutions,['Generic']
131,expense,2025-02-13,-0.01,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
132,expense,2025-02-14,-1.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
133,expense,2025-02-14,-0.05,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
