Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
Transfer,Current,2025-01-01 10:16:08,2025-01-01 10:16:08,To pocket EUR Salvadanaio from EUR,-1,0,EUR,COMPLETED,853.65
Transfer,Current,2025-01-01 16:19:25,2025-01-01 16:19:25,To pocket EUR Salvadanaio from EUR,-0.5,0,EUR,COMPLETED,853.15
Transfer,Current,2025-01-01 17:15:08,2025-01-01 17:15:08,To pocket EUR Salvadanaio from EUR,-0.01,0,EUR,COMPLETED,853.14
Card Payment,Current,2025-01-01 17:15:07,2025-01-02 3:56:43,Amazon,-13.99,0,EUR,COMPLETED,839.15
Transfer,Current,2025-01-02 8:49:10,2025-01-02 8:49:10,To pocket EUR Salvadanaio from EUR,-0.01,0,EUR,COMPLETED,839.14
Transfer,Current,2025-01-02 9:18:07,2025-01-02 9:18:07,To pocket EUR Salvadanaio from EUR,-1,0,EUR,COMPLETED,838.14
Card Payment,Current,2025-01-01 10:16:08,2025-01-02 10:37:40,Rifugio Cascina Miera,-70,0,EUR,COMPLETED,768.14
Transfer,Current,2025-01-02 17:40:15,2025-01-02 17:40:15,To pocket EUR Salvadanaio from EUR,-0.19,0,EUR,COMPLETED,767.95
Card Payment,Current,2025-01-02 17:40:14,2025-01-03 14:25:23,Pam Panorama,-1.81,0,EUR,COMPLETED,766.14
Card Payment,Current,2025-01-01 16:19:24,2025-01-03 14:27:10,Tabaccheria,-7.5,0,EUR,COMPLETED,758.64
Card Payment,Current,2025-01-02 9:18:07,2025-01-03 14:51:51,Lavasecco Delfino Bia.,-18,0,EUR,COMPLETED,740.64
Transfer,Current,2025-01-04 1:38:56,2025-01-04 1:38:56,To pocket EUR Salvadanaio from EUR,-25,0,EUR,COMPLETED,715.64
Transfer,Current,2025-01-04 11:18:25,2025-01-04 11:18:25,To pocket EUR Salvadanaio from EUR,-0.01,0,EUR,COMPLETED,715.63
Transfer,Current,2025-01-04 22:20:05,2025-01-04 22:20:05,To pocket EUR Salvadanaio from EUR,-0.1,0,EUR,COMPLETED,715.53
Card Payment,Current,2025-01-04 11:18:24,2025-01-05 4:49:51,Amazon,-2.99,0,EUR,COMPLETED,712.54
Card Payment,Current,2025-01-04 22:20:05,2025-01-05 10:12:45,Ayo,-36.9,0,EUR,COMPLETED,675.64
Transfer,Current,2025-01-05 20:33:12,2025-01-05 20:33:12,To pocket EUR Salvadanaio from EUR,-0.1,0,EUR,COMPLETED,675.54
