="rsp-5256401-00015149 rev. 1: Visualizzazione struttura"
=" Visualizza:ParserView"
, , , , ,
Level,Titolo,Nome,Contenuto,Stato,
1,="Sys3 00768-K Assisted Lane Change",="rsp-5256401-00015149", ,In corso,
2,Introduction,="chp-5256401-00365027", ,In corso,
3,Purpose,="chp-5256401-00365020", ,In corso,
4,Comment00000029,="com-5256401-00268953","This section describes the reason for which this specification is created

Example of description:

This document specifies the requirements for ALC Variant K 00768, including all its functionalities and methods to be used to ensure that each requirement has been met. This document, possibly supplemented with referenced documents, shall be used as the basis for design and qualification testing of the software product. This document shall be read and approved by the Technical Specialist, the designers responsible for each interacting systems and the test designers.",In corso,
3,Scope,="chp-5256401-00365028", ,In corso,
4,Comment00000032,="com-5256401-00268956","Provide a description and scope of the system under development. At the minimum, following details shall be captured:

a)System product(s) to be produced

b)Explain what the product(s) will, and, if necessary, will not do

c)Describe the application of the system being specified, including relevant benefits, objectives and goals

d)Be consistent with similar statements in higher level specifications (e.g. FSOI), if they exist",In corso,
3,Revision History,="chp-5256401-00365021", ,In corso,
4,Comment00000035,="com-5256401-00268950","This section is created for the teams who exchange their specifications with suppliers or with non-DOORS users

This section shall include a table, where all major modifications will be listed. Programs details cannot be mentioned for confidentiality reasons, as there is a risk of the document being read by different suppliers.

For team using a baseline they can refer to individual baseline. Baseline has description field - can give a summary of why baseline has been created.",In corso,
3,References,="chp-5256401-00365017", ,In corso,
4,Comment00000041,="com-5256401-00268948","Guidance: Provide a list of JLR internal and external references that are relevant to this specification. This includes Functional Safety and Quality deliverables. Please use the following format:

Reference [number] : Document title

Vehicle Network Database Site - EVA C - Network Architecture
 ",In corso,
3,Terminology,="chp-5256401-00365016", ,In corso,
4,Comment00000043,="com-5256401-00268946",Provide definitions of all terms to properly interpret this document. These definitions shall be items used in this document that are most likely not known to the audience,In corso,
2,Description,="chp-5256401-00365022", ,In corso,
3,System Of Interest Overview,="chp-5256401-00365029", ,In corso,
4,Comment00000033,="com-5256401-00268951","This section shall describe the general nature of the system; summarize the history of system development, operation, and maintenance, identify the stakeholders.",In corso,
3,System Of Interest Context,="chp-5256401-00365023", ,In corso,
4,Context Diagrams,="chp-5256401-00365019", ,In corso,
5,Comment00000034,="com-5256401-00268954","A system context diagram (SCD) in software engineering and systems engineering is a diagram that defines the boundary between the system, or part of a system, and its environment, showing the entities that interact with it.",In corso,
3,Assumptions,="chp-5256401-00365025", ,In corso,
4,Comment00000036,="com-5256401-00268957","List here the factors that affect the requirements. These factors are not design constraints, but areas where future changes might drive change in the requirements. For example, it is assumed that system has one ECU to implement the software.",In corso,
3,Constraints,="chp-5256401-00365015", ,In corso,
4,Comment00000037,="com-5256401-00268952","Constraints are requirements that are imposed on the solution by circumstance, force, or compulsion. Constraints limit absolutely the options open to a designer of a solution by imposing immovable boundaries and limits.",In corso,
2,Requirements,="chp-5256401-00365014", ,In corso,
3,Comment00000038,="com-5256401-00268955","Describe here the requirements for all functions of the system. These are generally listed as shall statements starting with The system shall This section shall be populated with all the relevant requirements for the system of interest including, but not limited to: functional safety, quality, security, diagnostic, configuration and calibration, mechanical, maintenance and supportability,�manufacturing and service.",In corso,
3,System of Interest Behaviours Definition,="chp-5256401-00365018", ,In corso,
4,Use Cases,="chp-5256401-00365030", ,In corso,
5,Comment00000039,="com-5256401-00268959","Document the high level system use cases to describe the expected system behaviour in terms of customer s/business perspective.

Provide relevant references to the applicable system use cases for this System.",In corso,
4,Diagrams,="chp-5256401-00365024", ,In corso,
5,Comment00000040,="com-5256401-00268958","Provide the Functional Architecture Diagram describing the system functions and their interaction.

Provide all the diagrams that describes the system behaviour.",In corso,
3,Function name requirements,="chp-5256401-00365031", ,In corso,
4,Comment00000042,="com-5256401-00268949",This section includes all requirements for each function identified in the Functional Architecture Diagram,In corso,
3,External Interface Requirements,="chp-5256401-00365026", ,In corso,
4,Comment00000047,="com-5256401-00268947",This section contains all the requirements associated with input and output to the System of Interest.,In corso,
3,CCCM ,="chp-5256401-00366314", ,In corso,
