Physical Element ; System Element ; Function Name ; PID ; N° in work ; N° Released ; N° Frozen ; Total 
DADSA_A;DADC_JLR;Determine Driver Initiated Assisted Lane Change Status;11434;103;0;0;103
DADSA_A;DADC_JLR;SetDILCROVPreConditions;15487;6;0;0;6
DADSA_A;DADC_JLR;Request To Initiate Lane Change;15486;6;0;0;6
DADSA_A;DADC_JLR;RequestLaneChangeAbortion;15484;9;0;0;9
DADSA_A;DADC_JLR;Manage DILC Setting Update;15482;3;0;0;3
DADSA_A;DADC_JLR;Request Lane Change Cancelled Warnings;11426;0;0;0;0
DADSA_A;DADC_JLR;Request to Activate/Deactivate Indicator Lamp;11460;1;0;0;1
DADSA_A;DADC_JLR;Request Display of Lane Change Status;11430;0;0;0;0
DADSA_A;DADC_JLR;Manage Confirmation of Deliberate Action;15485;5;0;0;5
DADSA_A;DADC_JLR;Process DILC Status for Logging;15483;7;0;0;7
BCMA_A;CarConfig;Determine ALC Variant Fitment;15478;9;0;0;9
BCMA_A;CarConfig;Determine DILC Fitment;11429;5;0;0;5
BCMA_A;CarConfig;Determine DILC Setting Fitment;15479;5;0;0;5
BCMA_A;Vehicle Lifecycle Manager;Determine Vehicle State;12968;0;0;0;0
SWM_A;Steering Wheel Core Services;Determine Indicator Stalk Position;11461;7;12;0;19
TBM_E;Towing;Provide Trailer Connection Status;13903;0;0;0;0
BCMA_A;Exterior Lighting Static;Provide Indicator/Hazard Lamp Status;15481;20;0;0;20
BCMA_A;Exterior Lighting Static;Actuate Direction Indicator;11384;5;0;0;5
CCCM_VALCCCM_VIP;InVehicleContent;Process DILC Setting Update;11405;6;0;0;6
CCCM_VALCCCM_VIP;Personalisation;Manage Assisted Lane Change Personalisation;15521;0;0;0;0
SWSR_ASWSL_A;Steering Wheel Switches/Controls/Lighting;Detect and Send Set+ Button Press;8893;0;0;0;0
SWSR_ASWSL_A;Steering Wheel Switches/Controls/Lighting;Detect and Send Set- Button Press;8894;0;0;0;0
SWSR_ASWSL_A;Steering Wheel Switches/Controls/Lighting;Detect and Send RES Button Press;8895;0;0;0;0
ABS_O;Longitudinal Motion Service;Provide Ego Longitudinal Wheels Speeds;14232;0;0;0;0
DADSA_A;DADC_NVIDIA;Activate Lane Change;15477;0;0;0;0
DADSA_A;DADC_NVIDIA;Determine Top Drive State;11506;0;0;0;0
DADSA_A;DADC_NVIDIA;Determine DILC Status (NDAS);11432;0;0;0;0
DADSA_A;DADC_NVIDIA;Abort Lane Change;15476;0;0;0;0
CCCM_VALCCCM_VIP;Audio;Play Low Alert Chime - Single Event;13393;0;1;0;1
CCCM_VALCCCM_VIP;DriverInformation;Display Lane Change Cancelled Take Control Message;11529;0;0;0;0
CCCM_VALCCCM_VIP;DriverInformation;Display Lane Change Status Feedback;11493;0;0;0;0
RCM;Restaints;Log DILC Status;15488;2;0;0;2
PSCMB_B;Lateral Motion Service;Detect Driver Steering Input;11407;0;0;0;0
