GRCode,Date,StartTime,TourTypeCode,GCode
GR001,2026-06-10,09:00,TT01,G001
GR002,2026-06-10,11:00,TT02,G002
GR003,2026-06-11,14:30,TT03,G003
GR004,2026-06-11,10:00,TT04,G004
GR005,2026-06-12,16:00,TT05,G005
GR006,2026-06-12,08:30,TT01,G001
GR007,2026-06-13,13:00,TT01,G002
GR008,2026-06-13,15:00,TT01,G003
GR009,2026-06-14,09:30,TT01,G004
GR010,2026-06-14,11:00,TT01,G005
GR011,2026-06-15,10:00,TT01,G001
GR012,2026-06-15,14:00,TT01,G002
GR013,2026-06-16,09:00,TT01,G003
GR014,2026-06-16,16:00,TT01,G004
GR015,2026-06-17,12:00,TT01,G005
GR016,2026-06-17,09:00,TT02,G001
GR017,2026-06-18,10:00,TT02,G002
GR018,2026-06-18,14:00,TT02,G003
GR019,2026-06-19,11:00,TT02,G004
GR020,2026-06-19,15:00,TT02,G005
GR021,2026-06-20,09:00,TT02,G001
GR001,2026-06-20,13:00,TT02,G002
GR003,2026-06-21,10:00,TT02,G003
GR008,2026-06-21,16:00,TT02,G004
